央视&卫视,#genre#
山西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227183/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.32:5140$成都单播
黑龙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227347/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.36:5140$成都单播
甘肃卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227937/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.55:5140$成都单播
贵州卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227357/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.51:5140$成都单播
云南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227133/index.m3u8$南充联通#
广西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227939/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.48:5140$成都单播
新疆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227117/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.58:5140$成都单播
西藏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227131/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.53:5140$成都单播
内蒙古卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227181/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.33:5140$成都单播
宁夏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227119/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.57:5140$成都单播
青海卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227123/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.56:5140$成都单播
陕西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227127/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.54:5140$成都单播
海南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227139/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.193:5140$成都单播
超高清,#genre#
CCTV-16 4k,http://192.168.9.1:5141/rtp/239.11.0.67:5140$成都单播
爱上4K,http://192.168.9.1:5141/rtp/239.11.0.120:5140$成都单播
咪咕4K,http://192.168.9.1:5141/rtp/239.11.0.122:5140$成都单播
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
电影&剧集,#genre#
BesTV百事通,http://192.168.9.1:5141/rtp/239.11.0.234:5140$成都单播
NewTV精品记录,http://192.168.9.1:5141/rtp/239.11.0.132:5140$成都单播
NewTV怡伴健康,http://192.168.9.1:5141/rtp/239.11.0.133:5140$成都单播
NewTV精品体育,http://192.168.9.1:5141/rtp/239.11.0.134:5140$成都单播
NewTV军事评论,http://192.168.9.1:5141/rtp/239.11.0.136:5140$成都单播
NewTV农业致富,http://192.168.9.1:5141/rtp/239.11.0.137:5140$成都单播
NewTV古装剧场,http://192.168.9.1:5141/rtp/239.11.0.141:5140$成都单播
NewTV动作电影,http://192.168.9.1:5141/rtp/239.11.0.142:5140$成都单播
NewTV军旅剧场,http://192.168.9.1:5141/rtp/239.11.0.143:5140$成都单播
NewTV惊悚悬疑,http://192.168.9.1:5141/rtp/239.11.0.144:5140$成都单播
NewTV海外剧场,http://192.168.9.1:5141/rtp/239.11.0.145:5140$成都单播
NewTV爱情喜剧,http://192.168.9.1:5141/rtp/239.11.0.149:5140$成都单播
NewTV精品大剧,http://192.168.9.1:5141/rtp/239.11.0.150:5140$成都单播
峨眉电影,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227942/index.m3u8$南充联通#
四川频道,#genre#
